"School","Date Reported","Student Cases","Staff Cases","Student Quarantines","Staff Quarantines","SchoolType"
"Dixie","7/28/2021","0","0","1","0","Elementary"
"Dixie","8/2/2021","0","1","1","0","Elementary"
"Dixie","8/17/2021","3","0","1","0","Elementary"
"Dixie","8/24/2021","0","0","5","0","Elementary"
"Dixie","8/11/2021","0","0","3","0","Elementary"
"Dixie","8/13/2021","1","0","1","0","Elementary"
"Dixie","8/16/2021","0","0","15","0","Elementary"
"Dixie","8/20/2021","0","0","1","0","Elementary"
"Dixie","8/15/2021","0","0","2","0","Elementary"
"Dixie","8/21/2021","0","0","12","0","Elementary"
"Dixie","8/12/2021","0","0","1","0","Elementary"
"Dixie","8/9/2021","0","0","3","0","Elementary"
"Eastside Tech","8/18/2021","0","0","5","0","Other"
"Eastside Tech","8/6/2021","0","1","0","0","Other"
"Edythe J. Hayes","8/25/2021","0","1","0","0","Middle"
"Edythe J. Hayes","8/21/2021","1","0","5","0","Middle"
"Edythe J. Hayes","8/13/2021","2","0","1","0","Middle"
"Edythe J. Hayes","8/12/2021","0","0","1","0","Middle"
"Edythe J. Hayes","8/11/2021","1","0","1","0","Middle"
"Edythe J. Hayes","8/15/2021","0","0","3","0","Middle"
"Edythe J. Hayes","8/14/2021","0","0","1","0","Middle"
"Edythe J. Hayes","8/10/2021","0","0","1","0","Middle"
"Edythe J. Hayes","7/31/2021","0","1","0","0","Middle"
"Edythe J. Hayes","8/3/2021","0","0","2","0","Middle"
"Edythe J. Hayes","8/7/2021","1","0","0","0","Middle"
"Edythe J. Hayes","8/16/2021","0","0","1","0","Middle"
"Edythe J. Hayes","8/24/2021","3","0","19","0","Middle"
"Edythe J. Hayes","8/5/2021","1","0","0","0","Middle"
"Edythe J. Hayes","8/8/2021","0","0","1","0","Middle"
"Edythe J. Hayes","8/9/2021","1","1","2","1","Middle"
"Edythe J. Hayes","8/20/2021","0","0","35","0","Middle"
"Edythe J. Hayes","8/17/2021","0","0","0","1","Middle"
"Edythe J. Hayes","8/19/2021","2","0","36","0","Middle"
"Edythe J. Hayes","8/23/2021","1","0","26","0","Middle"
"Fayette Preschool","8/23/2021","0","0","1","0","Other"
"Fayette Preschool","8/18/2021","0","0","0","1","Other"
"Frederick Douglass","8/25/2021","1","0","3","0","High School"
"Frederick Douglass","8/21/2021","1","0","1","0","High School"
"Frederick Douglass","8/13/2021","0","0","3","0","High School"
"Frederick Douglass","8/3/2021","3","0","1","0","High School"
"Frederick Douglass","8/9/2021","1","0","2","0","High School"
"Frederick Douglass","8/10/2021","3","0","0","0","High School"
"Frederick Douglass","8/16/2021","1","0","1","0","High School"
"Frederick Douglass","8/18/2021","1","0","3","0","High School"
"Frederick Douglass","8/19/2021","1","0","0","0","High School"
"Frederick Douglass","8/20/2021","1","0","41","0","High School"
"Frederick Douglass","8/11/2021","1","0","0","0","High School"
"Frederick Douglass","8/12/2021","2","0","1","0","High School"
"Frederick Douglass","8/4/2021","1","0","3","0","High School"
